Date,Open,High,Low,Close,Volume
2022/12/30 15:40, 14120.00, 14124.00, 14081.00, 14094.00, 9569
2022/12/30 16:20, 14094.00, 14116.00, 14092.00, 14102.00, 4282
2022/12/30 17:00, 14102.00, 14109.00, 14090.00, 14092.00, 2653
2022/12/30 17:40, 14092.00, 14105.00, 14090.00, 14100.00, 1890
2022/12/30 18:20, 14100.00, 14114.00, 14095.00, 14105.00, 2235
2022/12/30 19:00, 14104.00, 14132.00, 14104.00, 14127.00, 3841
2022/12/30 19:40, 14126.00, 14132.00, 14116.00, 14131.00, 2123
2022/12/30 20:20, 14131.00, 14132.00, 14111.00, 14113.00, 2127
2022/12/30 21:00, 14114.00, 14115.00, 14094.00, 14097.00, 3457
2022/12/30 21:40, 14097.00, 14100.00, 14067.00, 14073.00, 7645
2022/12/30 22:20, 14073.00, 14093.00, 14072.00, 14090.00, 4158
2022/12/30 23:00, 14090.00, 14110.00, 14050.00, 14074.00, 15494
2022/12/30 23:40, 14074.00, 14089.00, 14059.00, 14066.00, 8354
2022/12/31 00:20, 14066.00, 14086.00, 14055.00, 14057.00, 6605
2022/12/31 01:00, 14056.00, 14056.00, 14021.00, 14038.00, 10667
2022/12/31 01:40, 14038.00, 14054.00, 14030.00, 14042.00, 4035
2022/12/31 02:20, 14042.00, 14053.00, 14026.00, 14028.00, 2513
2022/12/31 03:00, 14027.00, 14038.00, 14005.00, 14032.00, 4341
2022/12/31 03:40, 14032.00, 14042.00, 14021.00, 14039.00, 1845
2022/12/31 04:20, 14038.00, 14085.00, 14034.00, 14078.00, 4509
2022/12/31 05:00, 14078.00, 14130.00, 14067.00, 14100.00, 7894
2023/01/03 09:25, 14064.00, 14064.00, 13983.00, 13983.00, 42626
2023/01/03 10:05, 13983.00, 14031.00, 13952.00, 14026.00, 35301
2023/01/03 10:45, 14027.00, 14124.00, 14019.00, 14116.00, 35309
2023/01/03 11:25, 14115.00, 14180.00, 14114.00, 14167.00, 28389
2023/01/03 12:05, 14168.00, 14210.00, 14162.00, 14192.00, 17321
2023/01/03 12:45, 14191.00, 14239.00, 14185.00, 14236.00, 15386
2023/01/03 13:25, 14236.00, 14247.00, 14216.00, 14225.00, 13345
2023/01/03 13:45, 14226.00, 14239.00, 14219.00, 14230.00, 6505
2023/01/03 15:40, 14227.00, 14233.00, 14207.00, 14226.00, 5645
2023/01/03 16:20, 14227.00, 14277.00, 14226.00, 14264.00, 8641
2023/01/03 17:00, 14264.00, 14293.00, 14262.00, 14293.00, 6184
2023/01/03 17:40, 14293.00, 14309.00, 14284.00, 14298.00, 6058
2023/01/03 18:20, 14298.00, 14315.00, 14291.00, 14292.00, 4512
2023/01/03 19:00, 14292.00, 14302.00, 14286.00, 14295.00, 3074
2023/01/03 19:40, 14295.00, 14299.00, 14277.00, 14280.00, 3134
2023/01/03 20:20, 14279.00, 14282.00, 14226.00, 14244.00, 10568
2023/01/03 21:00, 14244.00, 14253.00, 14237.00, 14246.00, 3884
2023/01/03 21:40, 14244.00, 14269.00, 14231.00, 14258.00, 7930
2023/01/03 22:20, 14257.00, 14272.00, 14253.00, 14266.00, 4350
2023/01/03 23:00, 14266.00, 14304.00, 14213.00, 14214.00, 22456
2023/01/03 23:40, 14215.00, 14233.00, 14180.00, 14204.00, 19617
2023/01/04 00:20, 14205.00, 14241.00, 14174.00, 14190.00, 13917
2023/01/04 01:00, 14190.00, 14199.00, 14158.00, 14163.00, 8932
2023/01/04 01:40, 14163.00, 14193.00, 14153.00, 14181.00, 6094
2023/01/04 02:20, 14182.00, 14183.00, 14146.00, 14157.00, 4750
2023/01/04 03:00, 14158.00, 14182.00, 14157.00, 14176.00, 2142
2023/01/04 03:40, 14177.00, 14185.00, 14150.00, 14157.00, 1604
2023/01/04 04:20, 14157.00, 14217.00, 14157.00, 14202.00, 4136
2023/01/04 05:00, 14202.00, 14204.00, 14183.00, 14190.00, 2138
2023/01/04 09:25, 14199.00, 14227.00, 14180.00, 14209.00, 28599
2023/01/04 10:05, 14210.00, 14271.00, 14196.00, 14238.00, 27415
2023/01/04 10:45, 14239.00, 14248.00, 14204.00, 14230.00, 15037
2023/01/04 11:25, 14229.00, 14253.00, 14213.00, 14239.00, 9693
2023/01/04 12:05, 14239.00, 14242.00, 14187.00, 14219.00, 13342
2023/01/04 12:45, 14219.00, 14221.00, 14199.00, 14206.00, 6100
2023/01/04 13:25, 14206.00, 14245.00, 14202.00, 14227.00, 9049
2023/01/04 13:45, 14226.00, 14228.00, 14208.00, 14209.00, 5537
2023/01/04 15:40, 14207.00, 14226.00, 14204.00, 14224.00, 2804
2023/01/04 16:20, 14224.00, 14261.00, 14223.00, 14258.00, 5498
2023/01/04 17:00, 14257.00, 14268.00, 14247.00, 14247.00, 5310
2023/01/04 17:40, 14248.00, 14249.00, 14234.00, 14241.00, 3500
2023/01/04 18:20, 14240.00, 14254.00, 14236.00, 14245.00, 2501
