Date,Open,High,Low,Close,Volume
2022/12/30 15:56, 14120.00, 14124.00, 14081.00, 14112.00, 11158
2022/12/30 16:52, 14111.00, 14116.00, 14092.00, 14099.00, 4653
2022/12/30 17:48, 14099.00, 14105.00, 14090.00, 14102.00, 2846
2022/12/30 18:44, 14101.00, 14129.00, 14095.00, 14128.00, 4183
2022/12/30 19:40, 14128.00, 14132.00, 14116.00, 14131.00, 3753
2022/12/30 20:36, 14131.00, 14132.00, 14101.00, 14103.00, 3534
2022/12/30 21:32, 14104.00, 14106.00, 14067.00, 14075.00, 8444
2022/12/30 22:28, 14075.00, 14093.00, 14071.00, 14087.00, 5759
2022/12/30 23:24, 14087.00, 14110.00, 14050.00, 14077.00, 20946
2022/12/31 00:20, 14077.00, 14086.00, 14055.00, 14057.00, 9157
2022/12/31 01:16, 14056.00, 14056.00, 14021.00, 14041.00, 12422
2022/12/31 02:12, 14041.00, 14054.00, 14038.00, 14044.00, 4070
2022/12/31 03:08, 14044.00, 14045.00, 14005.00, 14024.00, 5573
2022/12/31 04:04, 14024.00, 14060.00, 14021.00, 14057.00, 3008
2022/12/31 05:00, 14056.00, 14130.00, 14051.00, 14100.00, 10731
2023/01/03 09:41, 14064.00, 14064.00, 13952.00, 13959.00, 58199
2023/01/03 10:37, 13958.00, 14093.00, 13954.00, 14087.00, 46839
2023/01/03 11:33, 14087.00, 14190.00, 14087.00, 14188.00, 41746
2023/01/03 12:29, 14188.00, 14210.00, 14181.00, 14205.00, 18174
2023/01/03 13:25, 14205.00, 14247.00, 14204.00, 14225.00, 22719
2023/01/03 13:45, 14226.00, 14239.00, 14219.00, 14230.00, 6505
2023/01/03 15:56, 14227.00, 14244.00, 14207.00, 14243.00, 7818
2023/01/03 16:52, 14243.00, 14291.00, 14240.00, 14291.00, 11333
2023/01/03 17:48, 14291.00, 14310.00, 14284.00, 14305.00, 8481
2023/01/03 18:44, 14305.00, 14315.00, 14286.00, 14296.00, 5577
2023/01/03 19:40, 14295.00, 14302.00, 14277.00, 14280.00, 4039
2023/01/03 20:36, 14279.00, 14282.00, 14226.00, 14249.00, 12502
2023/01/03 21:32, 14247.00, 14269.00, 14231.00, 14246.00, 9190
2023/01/03 22:28, 14248.00, 14272.00, 14247.00, 14257.00, 6060
2023/01/03 23:24, 14258.00, 14304.00, 14193.00, 14210.00, 34236
2023/01/04 00:20, 14208.00, 14241.00, 14174.00, 14190.00, 20734
2023/01/04 01:16, 14190.00, 14199.00, 14153.00, 14171.00, 12117
2023/01/04 02:12, 14171.00, 14193.00, 14146.00, 14166.00, 7221
2023/01/04 03:08, 14166.00, 14185.00, 14153.00, 14175.00, 2954
2023/01/04 04:04, 14174.00, 14207.00, 14150.00, 14196.00, 4187
2023/01/04 05:00, 14196.00, 14217.00, 14183.00, 14190.00, 3317
2023/01/04 09:41, 14199.00, 14266.00, 14180.00, 14263.00, 42368
2023/01/04 10:37, 14264.00, 14271.00, 14204.00, 14228.00, 26884
2023/01/04 11:33, 14228.00, 14253.00, 14213.00, 14218.00, 13613
2023/01/04 12:29, 14218.00, 14221.00, 14187.00, 14202.00, 14405
2023/01/04 13:25, 14204.00, 14245.00, 14199.00, 14227.00, 11965
2023/01/04 13:45, 14226.00, 14228.00, 14208.00, 14209.00, 5537
2023/01/04 15:56, 14207.00, 14233.00, 14204.00, 14229.00, 4292
2023/01/04 16:52, 14228.00, 14268.00, 14228.00, 14251.00, 8850
2023/01/04 17:48, 14252.00, 14255.00, 14234.00, 14245.00, 4370
2023/01/04 18:44, 14246.00, 14254.00, 14228.00, 14230.00, 3934
2023/01/04 19:40, 14230.00, 14252.00, 14229.00, 14251.00, 3128
2023/01/04 20:36, 14251.00, 14252.00, 14233.00, 14240.00, 2699
2023/01/04 21:32, 14240.00, 14263.00, 14223.00, 14261.00, 7382
2023/01/04 22:28, 14262.00, 14279.00, 14255.00, 14275.00, 9113
2023/01/04 23:24, 14276.00, 14304.00, 14211.00, 14229.00, 38834
2023/01/05 00:20, 14230.00, 14293.00, 14226.00, 14290.00, 14815
2023/01/05 01:16, 14290.00, 14336.00, 14284.00, 14329.00, 15020
2023/01/05 02:12, 14330.00, 14343.00, 14296.00, 14324.00, 7162
2023/01/05 03:08, 14324.00, 14348.00, 14289.00, 14323.00, 8096
2023/01/05 04:04, 14323.00, 14350.00, 14282.00, 14340.00, 9418
2023/01/05 05:00, 14340.00, 14346.00, 14306.00, 14328.00, 4405
2023/01/05 09:41, 14325.00, 14375.00, 14301.00, 14328.00, 46733
