Date,Open,High,Low,Close,Volume
2022/12/30 15:25, 14120.00, 14124.00, 14095.00, 14112.00, 5406
2022/12/30 15:50, 14112.00, 14112.00, 14081.00, 14106.00, 5103
2022/12/30 16:15, 14106.00, 14116.00, 14095.00, 14101.00, 3071
2022/12/30 16:40, 14100.00, 14108.00, 14092.00, 14106.00, 1692
2022/12/30 17:05, 14107.00, 14109.00, 14090.00, 14095.00, 1644
2022/12/30 17:30, 14095.00, 14102.00, 14093.00, 14100.00, 975
2022/12/30 17:55, 14100.00, 14107.00, 14095.00, 14107.00, 1276
2022/12/30 18:20, 14107.00, 14114.00, 14103.00, 14105.00, 1462
2022/12/30 18:45, 14104.00, 14131.00, 14104.00, 14130.00, 2530
2022/12/30 19:10, 14131.00, 14132.00, 14116.00, 14122.00, 2180
2022/12/30 19:35, 14123.00, 14124.00, 14118.00, 14120.00, 783
2022/12/30 20:00, 14120.00, 14132.00, 14114.00, 14115.00, 1671
2022/12/30 20:25, 14115.00, 14118.00, 14110.00, 14111.00, 1195
2022/12/30 20:50, 14111.00, 14112.00, 14094.00, 14103.00, 2667
2022/12/30 21:15, 14103.00, 14106.00, 14087.00, 14092.00, 2511
2022/12/30 21:40, 14092.00, 14098.00, 14067.00, 14073.00, 5656
2022/12/30 22:05, 14073.00, 14092.00, 14072.00, 14090.00, 3038
2022/12/30 22:30, 14089.00, 14093.00, 14083.00, 14086.00, 1661
2022/12/30 22:55, 14086.00, 14110.00, 14050.00, 14065.00, 13599
2022/12/30 23:20, 14064.00, 14085.00, 14059.00, 14084.00, 6184
2022/12/30 23:45, 14084.00, 14089.00, 14060.00, 14069.00, 4502
2022/12/31 00:10, 14069.00, 14086.00, 14061.00, 14075.00, 3808
2022/12/31 00:35, 14075.00, 14077.00, 14034.00, 14047.00, 6927
2022/12/31 01:00, 14046.00, 14051.00, 14021.00, 14038.00, 5559
2022/12/31 01:25, 14038.00, 14046.00, 14030.00, 14046.00, 2451
2022/12/31 01:50, 14046.00, 14054.00, 14038.00, 14048.00, 2168
2022/12/31 02:15, 14048.00, 14053.00, 14038.00, 14043.00, 1271
2022/12/31 02:40, 14044.00, 14044.00, 14005.00, 14031.00, 4048
2022/12/31 03:05, 14032.00, 14038.00, 14024.00, 14024.00, 1300
2022/12/31 03:30, 14024.00, 14038.00, 14021.00, 14034.00, 964
2022/12/31 03:55, 14034.00, 14045.00, 14034.00, 14042.00, 1186
2022/12/31 04:20, 14042.00, 14085.00, 14035.00, 14078.00, 3855
2022/12/31 04:45, 14078.00, 14096.00, 14067.00, 14092.00, 3084
2022/12/31 05:00, 14094.00, 14130.00, 14093.00, 14100.00, 4810
2023/01/03 09:10, 14064.00, 14064.00, 14007.00, 14022.00, 25134
2023/01/03 09:35, 14022.00, 14045.00, 13955.00, 13972.00, 28636
2023/01/03 10:00, 13972.00, 14031.00, 13952.00, 14022.00, 21002
2023/01/03 10:25, 14023.00, 14077.00, 14011.00, 14075.00, 21787
2023/01/03 10:50, 14075.00, 14156.00, 14071.00, 14144.00, 23411
2023/01/03 11:15, 14144.00, 14180.00, 14128.00, 14168.00, 17315
2023/01/03 11:40, 14169.00, 14195.00, 14156.00, 14183.00, 12135
2023/01/03 12:05, 14184.00, 14210.00, 14182.00, 14192.00, 9526
2023/01/03 12:30, 14191.00, 14210.00, 14185.00, 14208.00, 6349
2023/01/03 12:55, 14208.00, 14247.00, 14205.00, 14236.00, 13254
2023/01/03 13:20, 14235.00, 14237.00, 14216.00, 14222.00, 8250
2023/01/03 13:45, 14222.00, 14239.00, 14219.00, 14230.00, 7383
2023/01/03 15:25, 14227.00, 14233.00, 14207.00, 14209.00, 3958
2023/01/03 15:50, 14209.00, 14244.00, 14209.00, 14243.00, 3479
2023/01/03 16:15, 14242.00, 14277.00, 14238.00, 14255.00, 6316
2023/01/03 16:40, 14256.00, 14282.00, 14255.00, 14275.00, 3648
2023/01/03 17:05, 14275.00, 14300.00, 14272.00, 14298.00, 4455
