Date,Open,High,Low,Close,Volume
2022/12/30 16:50, 14120.00, 14124.00, 14081.00, 14102.00, 15647
2022/12/30 18:40, 14102.00, 14122.00, 14090.00, 14120.00, 6488
2022/12/30 20:30, 14120.00, 14132.00, 14103.00, 14103.00, 7405
2022/12/30 22:20, 14103.00, 14108.00, 14067.00, 14090.00, 14440
2022/12/31 00:10, 14090.00, 14110.00, 14050.00, 14075.00, 28634
2022/12/31 02:00, 14075.00, 14077.00, 14021.00, 14050.00, 17675
2022/12/31 03:50, 14050.00, 14053.00, 14005.00, 14037.00, 8019
2022/12/31 05:00, 14038.00, 14130.00, 14035.00, 14100.00, 11929
2023/01/03 10:35, 14064.00, 14093.00, 13952.00, 14083.00, 104228
2023/01/03 12:25, 14082.00, 14210.00, 14082.00, 14202.00, 60137
2023/01/03 13:45, 14202.00, 14247.00, 14201.00, 14230.00, 29817
2023/01/03 16:50, 14227.00, 14287.00, 14207.00, 14286.00, 18666
2023/01/03 18:40, 14287.00, 14315.00, 14284.00, 14292.00, 14354
2023/01/03 20:30, 14292.00, 14302.00, 14226.00, 14248.00, 16203
2023/01/03 22:20, 14247.00, 14272.00, 14231.00, 14266.00, 14757
2023/01/04 00:10, 14266.00, 14304.00, 14180.00, 14200.00, 51695
2023/01/04 02:00, 14200.00, 14203.00, 14146.00, 14162.00, 22781
2023/01/04 03:50, 14163.00, 14207.00, 14150.00, 14204.00, 6763
2023/01/04 05:00, 14204.00, 14217.00, 14183.00, 14190.00, 4547
2023/01/04 10:35, 14199.00, 14271.00, 14180.00, 14222.00, 68797
2023/01/04 12:25, 14222.00, 14253.00, 14187.00, 14209.00, 27908
2023/01/04 13:45, 14209.00, 14245.00, 14199.00, 14209.00, 18067
2023/01/04 16:50, 14207.00, 14268.00, 14204.00, 14256.00, 12923
2023/01/04 18:40, 14255.00, 14256.00, 14234.00, 14236.00, 7721
2023/01/04 20:30, 14236.00, 14252.00, 14228.00, 14237.00, 6463
2023/01/04 22:20, 14237.00, 14279.00, 14223.00, 14265.00, 15918
2023/01/05 00:10, 14266.00, 14304.00, 14211.00, 14281.00, 52188
2023/01/05 02:00, 14281.00, 14343.00, 14280.00, 14308.00, 22235
2023/01/05 03:50, 14308.00, 14348.00, 14282.00, 14312.00, 17516
2023/01/05 05:00, 14313.00, 14350.00, 14306.00, 14328.00, 6554
2023/01/05 10:35, 14325.00, 14375.00, 14268.00, 14282.00, 80959
2023/01/05 12:25, 14283.00, 14299.00, 14239.00, 14265.00, 36643
2023/01/05 13:45, 14264.00, 14290.00, 14259.00, 14289.00, 17210
2023/01/05 16:50, 14277.00, 14295.00, 14261.00, 14280.00, 10716
2023/01/05 18:40, 14280.00, 14322.00, 14280.00, 14320.00, 10564
2023/01/05 20:30, 14321.00, 14330.00, 14307.00, 14314.00, 7616
2023/01/05 22:20, 14315.00, 14324.00, 14246.00, 14261.00, 24586
2023/01/06 00:10, 14260.00, 14274.00, 14223.00, 14253.00, 35822
2023/01/06 02:00, 14253.00, 14261.00, 14226.00, 14241.00, 10273
2023/01/06 03:50, 14242.00, 14277.00, 14228.00, 14270.00, 7542
2023/01/06 05:00, 14270.00, 14274.00, 14235.00, 14238.00, 3450
2023/01/06 10:35, 14274.00, 14346.00, 14274.00, 14309.00, 62682
2023/01/06 12:25, 14310.00, 14404.00, 14306.00, 14382.00, 48182
2023/01/06 13:45, 14382.00, 14394.00, 14355.00, 14366.00, 19408
2023/01/06 16:50, 14361.00, 14383.00, 14340.00, 14349.00, 11394
2023/01/06 18:40, 14348.00, 14371.00, 14335.00, 14366.00, 8212
2023/01/06 20:30, 14367.00, 14369.00, 14348.00, 14361.00, 5593
2023/01/06 22:20, 14360.00, 14441.00, 14324.00, 14411.00, 43415
2023/01/07 00:10, 14410.00, 14503.00, 14367.00, 14495.00, 58084
2023/01/07 02:00, 14496.00, 14559.00, 14483.00, 14534.00, 22102
2023/01/07 03:50, 14535.00, 14603.00, 14533.00, 14597.00, 9705
2023/01/07 05:00, 14597.00, 14619.00, 14578.00, 14591.00, 7049
2023/01/09 10:35, 14619.00, 14665.00, 14582.00, 14652.00, 74940
2023/01/09 12:25, 14652.00, 14704.00, 14650.00, 14703.00, 24649
2023/01/09 13:45, 14703.00, 14771.00, 14701.00, 14768.00, 26526
2023/01/09 16:50, 14760.00, 14765.00, 14731.00, 14759.00, 11251
2023/01/09 18:40, 14759.00, 14825.00, 14754.00, 14787.00, 17197
2023/01/09 20:30, 14787.00, 14807.00, 14783.00, 14803.00, 6323
2023/01/09 22:20, 14803.00, 14832.00, 14793.00, 14822.00, 13537
2023/01/10 00:10, 14821.00, 14895.00, 14818.00, 14887.00, 40687
2023/01/10 02:00, 14887.00, 14902.00, 14855.00, 14874.00, 10468
2023/01/10 03:50, 14874.00, 14875.00, 14801.00, 14819.00, 10249
2023/01/10 05:00, 14820.00, 14823.00, 14768.00, 14781.00, 8081
2023/01/10 10:35, 14748.00, 14829.00, 14738.00, 14753.00, 62851
2023/01/10 12:25, 14753.00, 14802.00, 14735.00, 14791.00, 33331
2023/01/10 13:45, 14791.00, 14824.00, 14772.00, 14810.00, 18448
2023/01/10 16:50, 14801.00, 14852.00, 14789.00, 14839.00, 13146
2023/01/10 18:40, 14840.00, 14857.00, 14820.00, 14853.00, 7712
2023/01/10 20:30, 14854.00, 14856.00, 14784.00, 14809.00, 13028
2023/01/10 22:20, 14808.00, 14844.00, 14783.00, 14842.00, 16847
2023/01/11 00:10, 14842.00, 14873.00, 14797.00, 14838.00, 40365
2023/01/11 02:00, 14838.00, 14850.00, 14817.00, 14845.00, 7890
2023/01/11 03:50, 14845.00, 14872.00, 14838.00, 14860.00, 4737
2023/01/11 05:00, 14860.00, 14864.00, 14836.00, 14862.00, 2697
2023/01/11 10:35, 14862.00, 14884.00, 14776.00, 14790.00, 61790
2023/01/11 12:25, 14791.00, 14792.00, 14746.00, 14776.00, 31677
2023/01/11 13:45, 14777.00, 14803.00, 14772.00, 14791.00, 17446
2023/01/11 16:50, 14778.00, 14778.00, 14713.00, 14760.00, 16928
2023/01/11 18:40, 14760.00, 14795.00, 14757.00, 14775.00, 8910
2023/01/11 20:30, 14774.00, 14788.00, 14758.00, 14767.00, 7119
2023/01/11 22:20, 14767.00, 14819.00, 14765.00, 14815.00, 13787
2023/01/12 00:10, 14815.00, 14844.00, 14789.00, 14807.00, 28291
2023/01/12 02:00, 14807.00, 14838.00, 14803.00, 14829.00, 8070
2023/01/12 03:50, 14829.00, 14863.00, 14818.00, 14857.00, 6716
2023/01/12 05:00, 14856.00, 14872.00, 14846.00, 14857.00, 3363
2023/01/12 10:35, 14829.00, 14840.00, 14733.00, 14747.00, 59372
2023/01/12 12:25, 14746.00, 14775.00, 14715.00, 14765.00, 32668
2023/01/12 13:45, 14765.00, 14786.00, 14708.00, 14766.00, 26575
2023/01/12 16:50, 14776.00, 14794.00, 14744.00, 14782.00, 12299
2023/01/12 18:40, 14782.00, 14842.00, 14778.00, 14811.00, 16991
2023/01/12 20:30, 14811.00, 14855.00, 14809.00, 14841.00, 8373
2023/01/12 22:20, 14841.00, 14910.00, 14723.00, 14848.00, 64633
2023/01/13 00:10, 14850.00, 14935.00, 14817.00, 14919.00, 60687
2023/01/13 02:00, 14920.00, 15016.00, 14915.00, 15003.00, 26609
2023/01/13 03:50, 15004.00, 15020.00, 14953.00, 14993.00, 11214
2023/01/13 05:00, 14992.00, 14992.00, 14955.00, 14973.00, 4856
2023/01/13 10:35, 14995.00, 15015.00, 14856.00, 14880.00, 87515
2023/01/13 12:25, 14880.00, 14880.00, 14821.00, 14852.00, 35617
2023/01/13 13:45, 14852.00, 14868.00, 14823.00, 14834.00, 19368
2023/01/13 16:50, 14855.00, 14896.00, 14853.00, 14890.00, 12853
2023/01/13 18:40, 14891.00, 14903.00, 14872.00, 14887.00, 7068
2023/01/13 20:30, 14888.00, 14894.00, 14829.00, 14837.00, 11665
2023/01/13 22:20, 14837.00, 14852.00, 14805.00, 14842.00, 18622
2023/01/14 00:10, 14841.00, 14888.00, 14832.00, 14867.00, 28474
2023/01/14 02:00, 14867.00, 14892.00, 14847.00, 14892.00, 11024
2023/01/14 03:50, 14891.00, 14926.00, 14880.00, 14917.00, 8250
2023/01/14 05:00, 14917.00, 14939.00, 14908.00, 14920.00, 4788
2023/01/16 10:35, 14929.00, 15004.00, 14924.00, 14965.00, 62334
2023/01/16 12:25, 14964.00, 14972.00, 14918.00, 14922.00, 32287
2023/01/16 13:45, 14921.00, 14948.00, 14916.00, 14938.00, 18046
2023/01/16 16:50, 14925.00, 14952.00, 14893.00, 14899.00, 10776
2023/01/16 18:40, 14899.00, 14920.00, 14884.00, 14919.00, 7677
2023/01/16 20:30, 14918.00, 14938.00, 14917.00, 14923.00, 5181
