Date,Open,High,Low,Close,Volume
2022/12/30 15:53, 14120.00, 14124.00, 14081.00, 14107.00, 10780
2022/12/30 16:46, 14107.00, 14116.00, 14092.00, 14105.00, 4733
2022/12/30 17:39, 14106.00, 14107.00, 14090.00, 14100.00, 2862
2022/12/30 18:32, 14100.00, 14117.00, 14095.00, 14115.00, 3107
2022/12/30 19:25, 14115.00, 14132.00, 14112.00, 14120.00, 4306
2022/12/30 20:18, 14120.00, 14132.00, 14111.00, 14114.00, 2864
2022/12/30 21:11, 14115.00, 14115.00, 14087.00, 14092.00, 5260
2022/12/30 22:04, 14091.00, 14098.00, 14067.00, 14090.00, 8861
2022/12/30 22:57, 14090.00, 14110.00, 14050.00, 14062.00, 15797
2022/12/30 23:50, 14063.00, 14089.00, 14059.00, 14081.00, 11382
2022/12/31 00:43, 14082.00, 14083.00, 14034.00, 14036.00, 11079
2022/12/31 01:36, 14035.00, 14047.00, 14021.00, 14045.00, 7259
2022/12/31 02:29, 14046.00, 14054.00, 14005.00, 14013.00, 5699
2022/12/31 03:22, 14014.00, 14038.00, 14013.00, 14026.00, 2999
2022/12/31 04:15, 14027.00, 14080.00, 14025.00, 14076.00, 4497
2022/12/31 05:00, 14075.00, 14130.00, 14067.00, 14100.00, 8752
2023/01/03 09:38, 14064.00, 14064.00, 13955.00, 13974.00, 55896
2023/01/03 10:31, 13975.00, 14092.00, 13952.00, 14082.00, 45765
2023/01/03 11:24, 14082.00, 14180.00, 14077.00, 14161.00, 39343
2023/01/03 12:17, 14160.00, 14210.00, 14156.00, 14196.00, 20946
2023/01/03 13:10, 14195.00, 14247.00, 14193.00, 14227.00, 21685
2023/01/03 13:45, 14227.00, 14239.00, 14216.00, 14230.00, 10547
2023/01/03 15:53, 14227.00, 14244.00, 14207.00, 14242.00, 7637
2023/01/03 16:46, 14242.00, 14285.00, 14240.00, 14283.00, 10567
2023/01/03 17:39, 14283.00, 14309.00, 14281.00, 14297.00, 8189
2023/01/03 18:32, 14298.00, 14315.00, 14286.00, 14287.00, 6103
2023/01/03 19:25, 14286.00, 14302.00, 14277.00, 14282.00, 3903
2023/01/03 20:18, 14281.00, 14286.00, 14226.00, 14243.00, 11142
2023/01/03 21:11, 14243.00, 14269.00, 14231.00, 14236.00, 8272
2023/01/03 22:04, 14237.00, 14272.00, 14236.00, 14258.00, 6579
2023/01/03 22:57, 14259.00, 14304.00, 14217.00, 14229.00, 22116
2023/01/03 23:50, 14230.00, 14233.00, 14180.00, 14220.00, 25020
2023/01/04 00:43, 14222.00, 14241.00, 14170.00, 14176.00, 15058
2023/01/04 01:36, 14176.00, 14193.00, 14153.00, 14192.00, 9980
2023/01/04 02:29, 14192.00, 14192.00, 14146.00, 14171.00, 6041
2023/01/04 03:22, 14172.00, 14185.00, 14161.00, 14164.00, 2089
2023/01/04 04:15, 14164.00, 14207.00, 14150.00, 14201.00, 4299
2023/01/04 05:00, 14201.00, 14217.00, 14183.00, 14190.00, 2771
2023/01/04 09:38, 14199.00, 14239.00, 14180.00, 14239.00, 37233
2023/01/04 10:31, 14239.00, 14271.00, 14204.00, 14219.00, 30106
2023/01/04 11:24, 14220.00, 14253.00, 14213.00, 14240.00, 13310
2023/01/04 12:17, 14239.00, 14242.00, 14187.00, 14215.00, 15259
2023/01/04 13:10, 14215.00, 14235.00, 14199.00, 14230.00, 9371
2023/01/04 13:45, 14230.00, 14245.00, 14208.00, 14209.00, 9493
2023/01/04 15:53, 14207.00, 14233.00, 14204.00, 14228.00, 4114
2023/01/04 16:46, 14228.00, 14268.00, 14226.00, 14254.00, 8434
2023/01/04 17:39, 14254.00, 14259.00, 14234.00, 14242.00, 4532
2023/01/04 18:32, 14243.00, 14254.00, 14236.00, 14245.00, 3101
2023/01/04 19:25, 14246.00, 14251.00, 14228.00, 14249.00, 3655
2023/01/04 20:18, 14249.00, 14252.00, 14233.00, 14242.00, 2809
2023/01/04 21:11, 14242.00, 14244.00, 14223.00, 14244.00, 4429
2023/01/04 22:04, 14243.00, 14279.00, 14238.00, 14261.00, 10172
2023/01/04 22:57, 14260.00, 14304.00, 14259.00, 14277.00, 19801
2023/01/04 23:50, 14278.00, 14296.00, 14211.00, 14272.00, 30430
2023/01/05 00:43, 14272.00, 14331.00, 14263.00, 14328.00, 15370
2023/01/05 01:36, 14327.00, 14339.00, 14320.00, 14338.00, 7426
2023/01/05 02:29, 14337.00, 14343.00, 14296.00, 14328.00, 6582
2023/01/05 03:22, 14329.00, 14348.00, 14289.00, 14322.00, 9249
2023/01/05 04:15, 14322.00, 14350.00, 14282.00, 14334.00, 8013
2023/01/05 05:00, 14335.00, 14342.00, 14306.00, 14328.00, 3401
2023/01/05 09:38, 14325.00, 14375.00, 14301.00, 14330.00, 44628
2023/01/05 10:31, 14330.00, 14336.00, 14268.00, 14278.00, 35350
2023/01/05 11:24, 14278.00, 14299.00, 14259.00, 14295.00, 18096
2023/01/05 12:17, 14294.00, 14295.00, 14239.00, 14256.00, 17693
2023/01/05 13:10, 14256.00, 14275.00, 14252.00, 14270.00, 8457
2023/01/05 13:45, 14269.00, 14290.00, 14264.00, 14289.00, 10588
2023/01/05 15:53, 14277.00, 14285.00, 14261.00, 14262.00, 5671
2023/01/05 16:46, 14263.00, 14295.00, 14262.00, 14280.00, 4813
2023/01/05 17:39, 14279.00, 14307.00, 14279.00, 14295.00, 5177
2023/01/05 18:32, 14296.00, 14321.00, 14293.00, 14313.00, 5068
2023/01/05 19:25, 14314.00, 14324.00, 14307.00, 14313.00, 3713
2023/01/05 20:18, 14313.00, 14330.00, 14308.00, 14318.00, 3853
2023/01/05 21:11, 14318.00, 14324.00, 14288.00, 14292.00, 5960
2023/01/05 22:04, 14293.00, 14304.00, 14246.00, 14251.00, 16274
2023/01/05 22:57, 14252.00, 14267.00, 14223.00, 14250.00, 20287
2023/01/05 23:50, 14249.00, 14274.00, 14240.00, 14264.00, 15145
2023/01/06 00:43, 14265.00, 14265.00, 14226.00, 14250.00, 8916
2023/01/06 01:36, 14251.00, 14261.00, 14235.00, 14252.00, 3959
2023/01/06 02:29, 14251.00, 14272.00, 14228.00, 14263.00, 4536
2023/01/06 03:22, 14266.00, 14277.00, 14253.00, 14259.00, 2870
2023/01/06 04:15, 14261.00, 14274.00, 14248.00, 14250.00, 1945
2023/01/06 05:00, 14251.00, 14255.00, 14235.00, 14238.00, 2382
2023/01/06 09:38, 14274.00, 14346.00, 14274.00, 14321.00, 40741
2023/01/06 10:31, 14321.00, 14328.00, 14290.00, 14301.00, 21133
2023/01/06 11:24, 14303.00, 14390.00, 14298.00, 14384.00, 30669
2023/01/06 12:17, 14384.00, 14404.00, 14375.00, 14384.00, 17229
2023/01/06 13:10, 14385.00, 14394.00, 14364.00, 14369.00, 10992
2023/01/06 13:45, 14369.00, 14376.00, 14355.00, 14366.00, 9508
2023/01/06 15:53, 14361.00, 14383.00, 14356.00, 14366.00, 5432
2023/01/06 16:46, 14366.00, 14366.00, 14340.00, 14350.00, 5815
2023/01/06 17:39, 14349.00, 14357.00, 14335.00, 14339.00, 3718
2023/01/06 18:32, 14339.00, 14371.00, 14337.00, 14362.00, 4270
2023/01/06 19:25, 14362.00, 14369.00, 14352.00, 14367.00, 2826
2023/01/06 20:18, 14367.00, 14368.00, 14348.00, 14350.00, 2441
2023/01/06 21:11, 14350.00, 14364.00, 14338.00, 14349.00, 4199
2023/01/06 22:04, 14350.00, 14441.00, 14324.00, 14429.00, 34517
2023/01/06 22:57, 14429.00, 14444.00, 14367.00, 14394.00, 28131
2023/01/06 23:50, 14395.00, 14486.00, 14386.00, 14485.00, 27521
2023/01/07 00:43, 14485.00, 14522.00, 14481.00, 14518.00, 16110
2023/01/07 01:36, 14518.00, 14559.00, 14511.00, 14536.00, 11919
2023/01/07 02:29, 14536.00, 14560.00, 14529.00, 14556.00, 4289
2023/01/07 03:22, 14556.00, 14590.00, 14551.00, 14590.00, 4561
2023/01/07 04:15, 14590.00, 14619.00, 14584.00, 14616.00, 5208
2023/01/07 05:00, 14616.00, 14617.00, 14578.00, 14591.00, 4597
2023/01/09 09:38, 14619.00, 14642.00, 14582.00, 14625.00, 48809
2023/01/09 10:31, 14625.00, 14665.00, 14619.00, 14643.00, 24465
2023/01/09 11:24, 14644.00, 14679.00, 14636.00, 14673.00, 14774
2023/01/09 12:17, 14672.00, 14699.00, 14670.00, 14697.00, 10279
2023/01/09 13:10, 14697.00, 14733.00, 14694.00, 14725.00, 13036
2023/01/09 13:45, 14725.00, 14771.00, 14722.00, 14768.00, 14752
2023/01/09 15:53, 14760.00, 14765.00, 14738.00, 14739.00, 6043
2023/01/09 16:46, 14739.00, 14761.00, 14731.00, 14761.00, 4724
2023/01/09 17:39, 14761.00, 14809.00, 14754.00, 14808.00, 8746
2023/01/09 18:32, 14808.00, 14825.00, 14798.00, 14799.00, 7657
2023/01/09 19:25, 14800.00, 14807.00, 14783.00, 14789.00, 5047
2023/01/09 20:18, 14790.00, 14804.00, 14788.00, 14804.00, 2189
2023/01/09 21:11, 14804.00, 14831.00, 14793.00, 14799.00, 6572
2023/01/09 22:04, 14799.00, 14832.00, 14797.00, 14821.00, 6328
2023/01/09 22:57, 14821.00, 14892.00, 14816.00, 14875.00, 20538
2023/01/09 23:50, 14874.00, 14895.00, 14842.00, 14893.00, 17696
2023/01/10 00:43, 14892.00, 14902.00, 14873.00, 14882.00, 7733
2023/01/10 01:36, 14882.00, 14900.00, 14868.00, 14869.00, 4124
2023/01/10 02:29, 14869.00, 14877.00, 14855.00, 14865.00, 3275
2023/01/10 03:22, 14865.00, 14872.00, 14801.00, 14843.00, 7734
2023/01/10 04:15, 14842.00, 14844.00, 14778.00, 14779.00, 5242
2023/01/10 05:00, 14780.00, 14801.00, 14768.00, 14781.00, 4145
2023/01/10 09:38, 14748.00, 14799.00, 14738.00, 14773.00, 33193
2023/01/10 10:31, 14772.00, 14829.00, 14766.00, 14780.00, 26767
2023/01/10 11:24, 14782.00, 14787.00, 14735.00, 14768.00, 22232
2023/01/10 12:17, 14767.00, 14802.00, 14758.00, 14789.00, 12885
2023/01/10 13:10, 14789.00, 14800.00, 14772.00, 14786.00, 8579
2023/01/10 13:45, 14786.00, 14824.00, 14781.00, 14810.00, 10974
2023/01/10 15:53, 14801.00, 14815.00, 14789.00, 14806.00, 4932
2023/01/10 16:46, 14805.00, 14852.00, 14802.00, 14839.00, 7903
2023/01/10 17:39, 14839.00, 14843.00, 14820.00, 14843.00, 4192
2023/01/10 18:32, 14843.00, 14850.00, 14832.00, 14847.00, 2788
2023/01/10 19:25, 14846.00, 14857.00, 14822.00, 14829.00, 4526
2023/01/10 20:18, 14828.00, 14835.00, 14784.00, 14788.00, 7668
2023/01/10 21:11, 14788.00, 14820.00, 14787.00, 14818.00, 5797
2023/01/10 22:04, 14817.00, 14838.00, 14783.00, 14828.00, 8828
2023/01/10 22:57, 14828.00, 14873.00, 14806.00, 14837.00, 23482
2023/01/10 23:50, 14837.00, 14864.00, 14797.00, 14810.00, 16688
2023/01/11 00:43, 14810.00, 14847.00, 14810.00, 14829.00, 7845
2023/01/11 01:36, 14829.00, 14844.00, 14817.00, 14836.00, 2995
2023/01/11 02:29, 14836.00, 14853.00, 14836.00, 14848.00, 2518
2023/01/11 03:22, 14847.00, 14870.00, 14845.00, 14865.00, 2408
2023/01/11 04:15, 14865.00, 14872.00, 14836.00, 14847.00, 2214
2023/01/11 05:00, 14849.00, 14864.00, 14846.00, 14862.00, 1638
2023/01/11 09:38, 14862.00, 14884.00, 14786.00, 14810.00, 38428
2023/01/11 10:31, 14811.00, 14816.00, 14776.00, 14788.00, 22692
2023/01/11 11:24, 14788.00, 14794.00, 14746.00, 14767.00, 18766
2023/01/11 12:17, 14768.00, 14792.00, 14760.00, 14780.00, 12654
2023/01/11 13:10, 14780.00, 14791.00, 14772.00, 14783.00, 7375
2023/01/11 13:45, 14785.00, 14803.00, 14774.00, 14791.00, 10998
2023/01/11 15:53, 14778.00, 14778.00, 14713.00, 14747.00, 11326
2023/01/11 16:46, 14747.00, 14767.00, 14742.00, 14760.00, 5336
2023/01/11 17:39, 14760.00, 14790.00, 14757.00, 14780.00, 5453
2023/01/11 18:32, 14780.00, 14795.00, 14779.00, 14789.00, 2967
2023/01/11 19:25, 14789.00, 14790.00, 14769.00, 14773.00, 2948
2023/01/11 20:18, 14772.00, 14788.00, 14765.00, 14768.00, 3555
2023/01/11 21:11, 14767.00, 14784.00, 14758.00, 14782.00, 3631
2023/01/11 22:04, 14782.00, 14818.00, 14782.00, 14809.00, 9509
2023/01/11 22:57, 14808.00, 14844.00, 14802.00, 14835.00, 15300
2023/01/11 23:50, 14836.00, 14836.00, 14797.00, 14811.00, 10984
2023/01/12 00:43, 14812.00, 14830.00, 14789.00, 14823.00, 7600
2023/01/12 01:36, 14823.00, 14838.00, 14822.00, 14826.00, 3738
2023/01/12 02:29, 14826.00, 14853.00, 14818.00, 14838.00, 3915
2023/01/12 03:22, 14838.00, 14858.00, 14837.00, 14848.00, 2461
2023/01/12 04:15, 14848.00, 14865.00, 14847.00, 14865.00, 1928
2023/01/12 05:00, 14865.00, 14872.00, 14846.00, 14857.00, 2533
2023/01/12 09:38, 14829.00, 14840.00, 14791.00, 14794.00, 29373
2023/01/12 10:31, 14794.00, 14805.00, 14747.00, 14753.00, 26049
2023/01/12 11:24, 14753.00, 14757.00, 14715.00, 14748.00, 23529
2023/01/12 12:17, 14749.00, 14775.00, 14748.00, 14758.00, 11951
2023/01/12 13:10, 14758.00, 14772.00, 14708.00, 14756.00, 16230
2023/01/12 13:45, 14757.00, 14786.00, 14744.00, 14766.00, 11483
2023/01/12 15:53, 14776.00, 14785.00, 14744.00, 14778.00, 7444
2023/01/12 16:46, 14778.00, 14794.00, 14776.00, 14778.00, 4517
2023/01/12 17:39, 14779.00, 14828.00, 14775.00, 14825.00, 9048
2023/01/12 18:32, 14825.00, 14842.00, 14812.00, 14817.00, 7866
2023/01/12 19:25, 14818.00, 14829.00, 14809.00, 14823.00, 2984
2023/01/12 20:18, 14824.00, 14838.00, 14822.00, 14833.00, 2800
2023/01/12 21:11, 14833.00, 14879.00, 14833.00, 14863.00, 9713
2023/01/12 22:04, 14864.00, 14910.00, 14723.00, 14892.00, 48011
2023/01/12 22:57, 14892.00, 14898.00, 14817.00, 14832.00, 32187
2023/01/12 23:50, 14833.00, 14933.00, 14832.00, 14905.00, 31216
2023/01/13 00:43, 14905.00, 14956.00, 14899.00, 14943.00, 17562
2023/01/13 01:36, 14944.00, 15014.00, 14938.00, 15013.00, 12748
2023/01/13 02:29, 15015.00, 15016.00, 14953.00, 14955.00, 7788
2023/01/13 03:22, 14956.00, 15020.00, 14955.00, 15001.00, 5291
2023/01/13 04:15, 15001.00, 15002.00, 14962.00, 14971.00, 3440
2023/01/13 05:00, 14970.00, 14985.00, 14955.00, 14973.00, 3047
2023/01/13 09:38, 14995.00, 15015.00, 14881.00, 14890.00, 51195
2023/01/13 10:31, 14890.00, 14911.00, 14856.00, 14864.00, 34087
2023/01/13 11:24, 14864.00, 14884.00, 14832.00, 14850.00, 20444
2023/01/13 12:17, 14849.00, 14861.00, 14821.00, 14849.00, 15674
2023/01/13 13:10, 14850.00, 14868.00, 14836.00, 14858.00, 10764
2023/01/13 13:45, 14857.00, 14867.00, 14823.00, 14834.00, 10336
2023/01/13 15:53, 14855.00, 14887.00, 14853.00, 14885.00, 7297
2023/01/13 16:46, 14886.00, 14893.00, 14871.00, 14892.00, 5143
2023/01/13 17:39, 14892.00, 14903.00, 14872.00, 14881.00, 4862
2023/01/13 18:32, 14880.00, 14893.00, 14876.00, 14884.00, 2395
2023/01/13 19:25, 14884.00, 14894.00, 14881.00, 14882.00, 1964
2023/01/13 20:18, 14883.00, 14884.00, 14841.00, 14846.00, 7654
2023/01/13 21:11, 14847.00, 14848.00, 14805.00, 14821.00, 11014
2023/01/13 22:04, 14822.00, 14852.00, 14822.00, 14835.00, 8596
2023/01/13 22:57, 14834.00, 14875.00, 14832.00, 14871.00, 13984
2023/01/13 23:50, 14871.00, 14888.00, 14858.00, 14884.00, 13122
2023/01/14 00:43, 14884.00, 14886.00, 14847.00, 14862.00, 7760
2023/01/14 01:36, 14862.00, 14884.00, 14854.00, 14876.00, 4242
2023/01/14 02:29, 14876.00, 14898.00, 14871.00, 14887.00, 3693
2023/01/14 03:22, 14887.00, 14926.00, 14886.00, 14916.00, 5309
2023/01/14 04:15, 14916.00, 14924.00, 14908.00, 14917.00, 1974
2023/01/14 05:00, 14917.00, 14939.00, 14916.00, 14920.00, 3735
2023/01/16 09:38, 14929.00, 14967.00, 14924.00, 14960.00, 34872
2023/01/16 10:31, 14959.00, 15004.00, 14942.00, 14975.00, 25831
2023/01/16 11:24, 14975.00, 14976.00, 14918.00, 14949.00, 19447
2023/01/16 12:17, 14950.00, 14972.00, 14923.00, 14926.00, 12686
2023/01/16 13:10, 14926.00, 14948.00, 14921.00, 14933.00, 10357
2023/01/16 13:45, 14932.00, 14948.00, 14916.00, 14938.00, 9474
2023/01/16 15:53, 14925.00, 14952.00, 14922.00, 14946.00, 3663
2023/01/16 16:46, 14946.00, 14949.00, 14893.00, 14899.00, 6788
2023/01/16 17:39, 14899.00, 14915.00, 14884.00, 14911.00, 5334
2023/01/16 18:32, 14912.00, 14920.00, 14903.00, 14917.00, 2424
2023/01/16 19:25, 14917.00, 14932.00, 14916.00, 14928.00, 2483
2023/01/16 20:18, 14929.00, 14938.00, 14921.00, 14934.00, 2452
2023/01/16 21:11, 14934.00, 14934.00, 14920.00, 14926.00, 2095
2023/01/16 22:04, 14925.00, 14946.00, 14923.00, 14944.00, 3013
2023/01/16 22:57, 14944.00, 14958.00, 14939.00, 14944.00, 5166
