StartTime,Symbol,High,Low,Open,Close,Volume,Period,reg5,reg20,OBV,RSI5,RSI20,SMA5,SMA20
2017/8/18 0:00,ETHUSDT,312.18,298.21,307.74,301.6,1208.052,4h,,,1208.052,,,,
2017/8/18 4:00,ETHUSDT,310.85,299.01,301.6,302,1200.942,4h,,,2408.994,,,,
2017/8/18 8:00,ETHUSDT,306.47,295.19,302,301.4,1690.583,4h,,,718.411,,,,
2017/8/18 12:00,ETHUSDT,309.49,298.41,301.4,306.24,1732.526,4h,,,2450.937,,,,
2017/8/18 16:00,ETHUSDT,311.79,303.22,306.24,307.78,1213.013,4h,0.013383616,,3663.95,,,303.804,
2017/8/18 20:00,ETHUSDT,310.29,296.32,307.78,298.8,1358.995,4h,-1.62E-05,,2304.955,41.44254279,,303.244,
2017/8/19 0:00,ETHUSDT,301.11,287.37,298.8,293.83,1620.715,4h,-0.018335499,,684.24,30.0365489,,301.61,
2017/8/19 4:00,ETHUSDT,295.46,283.94,295.46,293.96,1922.015,4h,-0.031424384,,2606.255,30.66051974,,300.122,
2017/8/19 8:00,ETHUSDT,299.84,292.83,293.31,293.22,282.193,4h,-0.027954752,,2324.062,28.8309443,,297.518,
2017/8/19 12:00,ETHUSDT,299.9,287.01,294.69,290.16,235.2921,4h,-0.01490487,,2088.7699,22.03459607,,293.994,
2017/8/19 16:00,ETHUSDT,293.17,278,290.16,282.58,1139.03,4h,-0.022154598,,949.7399,12.7373586,,290.75,
2017/8/19 20:00,ETHUSDT,290.85,279.56,281.39,288.64,288.2999,4h,-0.017990285,,1238.0398,38.61918469,,289.712,
2017/8/20 0:00,ETHUSDT,295,284.16,288.64,293.31,127.3859,4h,-0.001133362,,1365.4257,52.25909408,,289.582,
2017/8/20 4:00,ETHUSDT,294.9,288.8,290.6,290.91,73.99638,4h,0.010360728,,1291.42932,45.73090134,,289.12,
2017/8/20 8:00,ETHUSDT,292.42,285.96,289.41,292.41,68.40092,4h,0.018549089,,1359.83024,50.55628871,,289.57,
2017/8/20 12:00,ETHUSDT,295.56,285.39,287.97,292.08,252.2623,4h,0.005025466,,1107.56794,49.34959822,,291.47,
2017/8/20 16:00,ETHUSDT,296.89,282.85,293.02,295,240.7597,4h,0.003807126,,1348.32764,59.92839678,,292.742,
2017/8/20 20:00,ETHUSDT,296.92,292.28,295,295.1,67.3647,4h,0.009167679,,1415.69234,60.28349755,,293.1,
2017/8/21 0:00,ETHUSDT,300.53,293.28,295.1,297.88,361.567,4h,0.011611102,,1777.25934,69.63436776,,294.494,
2017/8/21 4:00,ETHUSDT,300.53,294.51,297.87,299.1,1519.784,4h,0.014009281,-0.017887931,3297.04334,73.10761288,,295.832,295.8
2017/8/21 8:00,ETHUSDT,300.9,294.6,299.1,299.85,723.806,4h,0.01128407,-0.012278521,4020.84934,75.28034856,48.42540939,297.386,295.7125
2017/8/21 12:00,ETHUSDT,329.49,299.11,300.03,318.5,888.5711,4h,0.039530414,0.003672291,4909.42044,92.96004739,61.88909807,302.086,296.5375
2017/8/21 16:00,ETHUSDT,333.66,312.6,317.48,331.53,207.3769,4h,0.068581119,0.025140621,5116.79734,95.66667832,68.02739945,309.372,298.044
2017/8/21 20:00,ETHUSDT,346.52,325.42,331.33,334.94,1227.44,4h,0.07983034,0.049348649,6344.23734,96.15079528,69.38574132,316.784,299.479
2017/8/22 0:00,ETHUSDT,342.72,316.82,334.34,329.71,1715.073,4h,0.057728017,0.069945964,4629.16434,79.18965209,64.93210921,322.906,300.5755
2017/8/22 4:00,ETHUSDT,332.74,316.12,332.27,323.29,457.1785,4h,0.00580137,0.080555458,4171.98584,62.32101148,59.95920909,327.594,301.8
2017/8/22 8:00,ETHUSDT,330.41,280,321.04,280,809.6152,4h,-0.08765926,0.064616027,3362.37064,22.29370155,38.84375628,319.894,301.1085
2017/8/22 12:00,ETHUSDT,310.24,144.21,144.21,300.35,707.4725,4h,-0.092647493,0.059994377,4069.84314,43.58504257,47.91933356,313.658,301.428
2017/8/22 16:00,ETHUSDT,313.16,296,300.35,308.03,2176.125,4h,-0.052594885,0.058552452,6245.96814,50.04240466,50.8187224,308.276,302.1685
2017/8/22 20:00,ETHUSDT,311.24,301.48,311.16,308.39,1756.831,4h,-0.001424591,0.054690418,8002.79914,50.37522565,50.95344985,304.012,303.08
2017/8/23 0:00,ETHUSDT,320.76,305.08,305.08,307.03,1304.251,4h,0.050543828,0.044729738,6698.54814,48.83876898,50.40436781,300.76,304.3025
2017/8/23 4:00,ETHUSDT,313.99,305.08,307.03,309.8,1202.056,4h,0.014294248,0.038443219,7900.60414,52.52528837,51.52433343,306.72,305.3605
2017/8/23 8:00,ETHUSDT,319.78,309.41,312.25,317.26,1088.333,4h,0.015694165,0.037559473,8988.93714,61.79325819,54.44089972,310.102,306.558
2017/8/23 12:00,ETHUSDT,324.99,315.35,315.45,319.06,1376.063,4h,0.024757902,0.03492132,10365.00014,63.91777086,55.12661988,312.308,307.9655
2017/8/23 16:00,ETHUSDT,324.51,318.02,319.06,319.2,1285.874,4h,0.026168529,0.031716752,11650.87414,64.11178649,55.18184767,314.47,309.305
2017/8/23 20:00,ETHUSDT,322,313.75,319.2,319.2,2106.385,4h,0.016029804,0.026912719,11650.87414,64.11178649,55.18184767,316.904,310.661
2017/8/24 0:00,ETHUSDT,322.34,315.53,317.87,318.57,1635.497,4h,0.002121577,0.022031301,10015.37714,61.77619418,54.8452792,318.658,311.8395
2017/8/24 4:00,ETHUSDT,320.2,312.05,318.57,315.74,1173.573,4h,-0.005593659,0.014557793,8841.80414,51.28539126,53.30786545,318.354,312.8715
2017/8/24 8:00,ETHUSDT,318.45,314.01,315.74,315.22,1061.174,4h,-0.00880793,0.007328038,7780.63014,49.3601252,53.02039858,317.586,313.7385
2017/8/24 12:00,ETHUSDT,322.36,314.31,315.22,318.54,1074.076,4h,-0.003603346,0.001570367,8854.70614,61.0342612,54.66346809,317.454,314.7105
2017/8/24 16:00,ETHUSDT,323.61,316.14,318.54,323.61,1670.503,4h,0.009910298,-0.002214774,10525.20914,72.94158887,57.07663121,318.336,315.8985
2017/8/24 20:00,ETHUSDT,328.04,317.9,322.51,321.2,1138.048,4h,0.014833147,0.001890953,9387.16114,61.73263021,55.59593189,318.862,316.0335
2017/8/25 0:00,ETHUSDT,325.35,318.97,323.67,321.23,909.1259,4h,0.011237989,0.013119764,10296.28704,61.82391442,55.61102103,319.96,315.5185
2017/8/25 4:00,ETHUSDT,326.33,318.97,321.23,323.42,900.3444,4h,0.005620938,0.027940207,11196.63144,68.64826731,56.7406119,321.6,314.9425
