Date,Open,High,Low,Close,Volume
2022/12/30 16:07, 14120.00, 14124.00, 14081.00, 14104.00, 12899
2022/12/30 17:14, 14103.00, 14109.00, 14090.00, 14099.00, 4424
2022/12/30 18:21, 14098.00, 14114.00, 14094.00, 14109.00, 3374
2022/12/30 19:28, 14109.00, 14132.00, 14107.00, 14119.00, 5158
2022/12/30 20:35, 14120.00, 14132.00, 14101.00, 14106.00, 4203
2022/12/30 21:42, 14105.00, 14107.00, 14067.00, 14080.00, 9971
2022/12/30 22:49, 14079.00, 14110.00, 14051.00, 14054.00, 15051
2022/12/30 23:56, 14054.00, 14089.00, 14050.00, 14073.00, 15690
2022/12/31 01:03, 14073.00, 14077.00, 14021.00, 14038.00, 14719
2022/12/31 02:10, 14038.00, 14054.00, 14030.00, 14044.00, 5392
2022/12/31 03:17, 14043.00, 14045.00, 14005.00, 14023.00, 5988
2022/12/31 04:24, 14023.00, 14085.00, 14022.00, 14072.00, 5853
2022/12/31 05:00, 14072.00, 14130.00, 14067.00, 14100.00, 7515
2023/01/03 09:52, 14064.00, 14064.00, 13952.00, 13973.00, 66007
2023/01/03 10:59, 13973.00, 14156.00, 13973.00, 14143.00, 58991
2023/01/03 12:06, 14143.00, 14210.00, 14136.00, 14193.00, 34122
2023/01/03 13:13, 14194.00, 14247.00, 14185.00, 14230.00, 25640
2023/01/03 13:45, 14229.00, 14239.00, 14216.00, 14230.00, 9422
2023/01/03 16:07, 14227.00, 14277.00, 14207.00, 14267.00, 12442
2023/01/03 17:14, 14268.00, 14305.00, 14253.00, 14302.00, 10993
2023/01/03 18:21, 14302.00, 14315.00, 14291.00, 14291.00, 7720
2023/01/03 19:28, 14291.00, 14302.00, 14277.00, 14282.00, 5363
2023/01/03 20:35, 14281.00, 14286.00, 14226.00, 14250.00, 13187
2023/01/03 21:42, 14251.00, 14269.00, 14231.00, 14256.00, 10090
2023/01/03 22:49, 14255.00, 14304.00, 14240.00, 14240.00, 18177
2023/01/03 23:56, 14241.00, 14262.00, 14180.00, 14224.00, 32816
2023/01/04 01:03, 14223.00, 14241.00, 14153.00, 14153.00, 19379
2023/01/04 02:10, 14153.00, 14193.00, 14146.00, 14157.00, 8966
2023/01/04 03:17, 14156.00, 14185.00, 14153.00, 14168.00, 3462
2023/01/04 04:24, 14168.00, 14217.00, 14150.00, 14188.00, 5321
2023/01/04 05:00, 14187.00, 14202.00, 14185.00, 14190.00, 1850
2023/01/04 09:52, 14199.00, 14271.00, 14180.00, 14262.00, 50569
2023/01/04 10:59, 14261.00, 14262.00, 14204.00, 14227.00, 23397
2023/01/04 12:06, 14227.00, 14253.00, 14187.00, 14216.00, 20289
2023/01/04 13:13, 14216.00, 14235.00, 14199.00, 14230.00, 11505
2023/01/04 13:45, 14230.00, 14245.00, 14208.00, 14209.00, 9012
2023/01/04 16:07, 14207.00, 14240.00, 14204.00, 14235.00, 5386
2023/01/04 17:14, 14236.00, 14268.00, 14234.00, 14244.00, 10126
2023/01/04 18:21, 14244.00, 14254.00, 14235.00, 14242.00, 4267
